Suburb,Type,Price,Result,Seller,Date,Bedroom,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Latitude,Longtitude,RegionName
Balwyn North,House,1725000,Passed In,Marshall,29/04/2017,4,3,2,627,1970,Boroondara City Council,-37.7827,145.0945,SOUTHERN METROPOLITAN
Balwyn North,Unit,700000,Sold,Marshall,13/05/2017,3,1,1,350,1950,Boroondara City Council,-37.7862,145.0739,SOUTHERN METROPOLITAN
Balwyn North,House,1890000,Sold,Jellis,13/05/2017,4,3,2,636,1960,Boroondara City Council,-37.789,145.0938,SOUTHERN METROPOLITAN
Balwyn North,Unit,800000,Passed In,hockingstuart,20/05/2017,2,2,1,196,1994,Boroondara City Council,-37.785,145.0961,SOUTHERN METROPOLITAN
Balwyn North,House,1300000,Passed In,Kay,27/05/2017,3,2,2,975,1985,Boroondara City Council,-37.79673,145.06853,SOUTHERN METROPOLITAN
Balwyn North,Townhouse,1330000,Sold,Marshall,27/05/2017,3,2,1,260,2001,Boroondara City Council,-37.79294,145.08583,SOUTHERN METROPOLITAN
Balwyn North,House,2050000,Sold,Jellis,27/05/2017,4,3,2,526,2006,Boroondara City Council,-37.80365,145.09048,SOUTHERN METROPOLITAN
Balwyn North,House,1940000,Sold,hockingstuart,27/05/2017,5,2,1,629,1940,Boroondara City Council,-37.79238,145.07841,SOUTHERN METROPOLITAN
Balwyn North,House,1590000,Sold,Jellis,27/05/2017,3,1,1,697,1955,Boroondara City Council,-37.78483,145.07477,SOUTHERN METROPOLITAN
Balwyn North,Unit,725000,Sold,Fletchers,27/05/2017,2,1,1,134,1970,Boroondara City Council,-37.79541,145.0657,SOUTHERN METROPOLITAN
Balwyn North,Townhouse,1557000,Sold,RT,17/06/2017,3,2,2,292,2010,Boroondara City Council,-37.80259,145.09878,SOUTHERN METROPOLITAN
Balwyn North,House,2050000,Sold,Jellis,17/06/2017,4,1,1,1138,1950,Boroondara City Council,-37.79284,145.10082,SOUTHERN METROPOLITAN
Balwyn North,House,3200000,Passed In,Jellis,24/06/2017,5,3,2,836,1970,Boroondara City Council,-37.78839,145.07076,SOUTHERN METROPOLITAN
Balwyn North,Unit,682000,Sold,hockingstuart,24/06/2017,2,1,1,140,1970,Boroondara City Council,-37.79334,145.10025,SOUTHERN METROPOLITAN
Balwyn North,House,1275000,Passed In,Fletchers,1/07/2017,3,2,2,226,1965,Boroondara City Council,-37.79495,145.08192,SOUTHERN METROPOLITAN
Balwyn North,Townhouse,1575000,Sold After Auction,Fletchers,8/07/2017,4,2,2,392,2007,Boroondara City Council,-37.80039,145.0961,SOUTHERN METROPOLITAN
Balwyn North,Townhouse,1721000,Sold,Fletchers,15/07/2017,3,2,2,301,1995,Boroondara City Council,-37.79535,145.07131,SOUTHERN METROPOLITAN
Balwyn North,House,2400000,Passed In,hockingstuart,22/07/2017,5,4,2,742,1980,Boroondara City Council,-37.80218,145.10063,SOUTHERN METROPOLITAN
Balwyn North,House,1850000,Sold After Auction,Fletchers,22/07/2017,4,4,3,929,1960,Boroondara City Council,-37.79497,145.10538,SOUTHERN METROPOLITAN
Balwyn North,Unit,950000,Sold,Fletchers,29/07/2017,2,1,1,327,1975,Boroondara City Council,-37.78245,145.09273,SOUTHERN METROPOLITAN
Balwyn North,House,1755000,Sold,Jellis,29/07/2017,4,2,2,605,1938,Boroondara City Council,-37.79466,145.06564,SOUTHERN METROPOLITAN
Balwyn North,House,1460000,Passed In,hockingstuart,12/08/2017,4,2,2,433,1955,Boroondara City Council,-37.78368,145.09545,SOUTHERN METROPOLITAN
Balwyn North,House,2000000,Passed In,hockingstuart,19/08/2017,4,3,4,958,2015,Boroondara City Council,-37.78662,145.07683,SOUTHERN METROPOLITAN
Balwyn North,House,2270000,Passed In,Barry Plant,19/08/2017,4,2,2,654,2010,Boroondara City Council,-37.78458,145.07912,SOUTHERN METROPOLITAN
Balwyn North,House,1890000,Sold,Fletchers,19/08/2017,3,2,1,632,1940,Boroondara City Council,-37.79094,145.07899,SOUTHERN METROPOLITAN
Balwyn North,House,2800000,Sold,Marshall,26/08/2017,5,2,2,1173,1960,Boroondara City Council,-37.80385,145.09094,SOUTHERN METROPOLITAN
Balwyn North,House,1951000,Sold,Marshall,3/09/2017,5,3,3,711,1960,Boroondara City Council,-37.79066,145.09004,SOUTHERN METROPOLITAN
Balwyn North,House,1950000,Sold,RT,3/09/2017,5,3,2,743,1949,Boroondara City Council,-37.80235,145.09311,SOUTHERN METROPOLITAN
Balwyn North,House,2000000,Passed In,Jellis,9/09/2017,4,2,5,700,2007,Boroondara City Council,-37.78971,145.09546,SOUTHERN METROPOLITAN
Balwyn North,Unit,905000,Sold,Nelson,16/09/2017,2,1,1,132,1960,Boroondara City Council,-37.79681,145.06903,SOUTHERN METROPOLITAN
Balwyn North,House,3870000,Passed In,Noel,7/10/2017,5,4,4,660,2011,Boroondara City Council,-37.78899,145.07913,SOUTHERN METROPOLITAN
Balwyn North,House,1500000,Passed In,Jellis,14/10/2017,3,1,2,622,1952,Boroondara City Council,-37.78144,145.07996,SOUTHERN METROPOLITAN
Balwyn North,House,1500000,Passed In,Fletchers,14/10/2017,4,2,1,620,1965,Boroondara City Council,-37.78396,145.07942,SOUTHERN METROPOLITAN
Balwyn North,House,1300000,Passed In,Fletchers,21/10/2017,3,1,2,592,1955,Boroondara City Council,-37.79367,145.10661,SOUTHERN METROPOLITAN
Balwyn North,House,2400000,Passed In,hockingstuart,28/10/2017,4,2,2,716,2008,Boroondara City Council,-37.80038,145.10047,SOUTHERN METROPOLITAN
Balwyn North,House,1000000,Passed In,Marshall,28/10/2017,2,1,2,244,1990,Boroondara City Council,-37.78963,145.07365,SOUTHERN METROPOLITAN
Balwyn North,House,3225000,Sold,hockingstuart,28/10/2017,5,4,2,646,2016,Boroondara City Council,-37.79799,145.10165,SOUTHERN METROPOLITAN
Balwyn North,House,1730000,Sold,Purplebricks,28/10/2017,5,2,4,643,1955,Boroondara City Council,-37.79064,145.09463,SOUTHERN METROPOLITAN
Balwyn North,House,3200000,Passed In,Jellis,11/11/2017,4,2,7,710,2016,Boroondara City Council,-37.7977,145.068,SOUTHERN METROPOLITAN
Balwyn North,House,4050000,Sold,Noel,18/11/2017,5,4,4,660,2012,Boroondara City Council,-37.789,145.0791,SOUTHERN METROPOLITAN
Balwyn North,House,2100000,Passed In,Jellis,9/12/2017,3,2,2,717,2004,Boroondara City Council,-37.78952,145.08367,SOUTHERN METROPOLITAN
Balwyn North,House,1960000,Sold,Fletchers,6/01/2018,4,2,2,961,1970,Boroondara City Council,-37.8012,145.09288,SOUTHERN METROPOLITAN
Balwyn North,House,2350000,Passed In,Marshall,17/02/2018,5,2,2,1005,1950,Boroondara City Council,-37.79389,145.09822,SOUTHERN METROPOLITAN
Balwyn North,House,1800000,Passed In,Marshall,24/02/2018,3,1,2,676,1950,Boroondara City Council,-37.79162,145.08315,SOUTHERN METROPOLITAN
Balwyn North,House,1562000,Sold,Fletchers,24/02/2018,4,2,1,436,1930,Boroondara City Council,-37.80088,145.066,SOUTHERN METROPOLITAN
Balwyn North,House,1950000,Passed In,Jellis,24/02/2018,4,2,2,836,1940,Boroondara City Council,-37.78775,145.07043,SOUTHERN METROPOLITAN
Balwyn North,House,3100000,Passed In,Fletchers,24/02/2018,4,3,1,836,1935,Boroondara City Council,-37.79154,145.06912,SOUTHERN METROPOLITAN
Balwyn North,House,2255000,Passed In,Fletchers,3/03/2018,4,2,2,576,2013,Boroondara City Council,-37.7864,145.09216,SOUTHERN METROPOLITAN
Balwyn North,House,1905000,Passed In,Noel,3/03/2018,4,2,2,823,1935,Boroondara City Council,-37.79021,145.06674,SOUTHERN METROPOLITAN
Balwyn North,House,3200000,Passed In,hockingstuart,17/03/2018,5,3,2,680,1940,Boroondara City Council,-37.79895,145.08002,SOUTHERN METROPOLITAN
Balwyn North,Townhouse,1450000,Passed In,Jellis,17/03/2018,4,3,3,270,2009,Boroondara City Council,-37.79798,145.06349,SOUTHERN METROPOLITAN
Bayswater,House,705000,Passed In,Biggin,27/05/2017,4,2,4,765,1975,Knox City Council,-37.854,145.2565,EASTERN METROPOLITAN
Bayswater,House,930000,Sold,Noel,3/06/2017,5,2,2,992,1970,Knox City Council,-37.84613,145.25606,EASTERN METROPOLITAN
Bayswater,House,700000,Sold,Biggin,3/06/2017,3,2,1,509,1980,Knox City Council,-37.84823,145.26673,EASTERN METROPOLITAN
Bayswater,Townhouse,860000,Sold,Ray,3/06/2017,4,3,2,304,1970,Knox City Council,-37.8543,145.25253,EASTERN METROPOLITAN
Bayswater,House,925000,Sold Prior,Biggin,17/06/2017,4,1,10,993,1966,Knox City Council,-37.84688,145.25632,EASTERN METROPOLITAN
Bayswater,Townhouse,640000,Sold,Fletchers,1/07/2017,3,2,1,187,2010,Knox City Council,-37.83909,145.26075,EASTERN METROPOLITAN
Bayswater,Unit,520000,Sold,Ray,8/07/2017,2,1,1,158,1975,Knox City Council,-37.845,145.25624,EASTERN METROPOLITAN
Bayswater,House,606000,Sold,McGrath,29/07/2017,3,1,1,424,1970,Knox City Council,-37.84291,145.25545,EASTERN METROPOLITAN
Bayswater,House,824000,Sold,One,3/09/2017,3,1,2,725,1980,Knox City Council,-37.85063,145.25802,EASTERN METROPOLITAN
Bayswater,House,750000,Sold Prior,hockingstuart,4/11/2017,3,1,2,721,1965,Knox City Council,-37.852,145.2678,EASTERN METROPOLITAN
Bayswater,House,910000,Sold,Noel,6/01/2018,3,3,4,1028,1980,Knox City Council,-37.84034,145.25416,EASTERN METROPOLITAN
Bayswater,House,862000,Sold,Barry Plant,6/01/2018,3,2,2,719,1975,Knox City Council,-37.85255,145.25799,EASTERN METROPOLITAN
Bayswater North,House,616000,Sold,Ray,17/06/2017,3,2,0,586,1999,Maroondah City Council,-37.82273,145.27323,EASTERN METROPOLITAN
Bayswater North,Unit,500000,Passed In,Stockdale,1/07/2017,3,1,2,263,1970,Maroondah City Council,-37.83303,145.27488,EASTERN METROPOLITAN
Bayswater North,House,762000,Sold,Ray,15/07/2017,3,2,2,792,1980,Maroondah City Council,-37.82809,145.29287,EASTERN METROPOLITAN
Bayswater North,House,900000,Sold,One,9/09/2017,4,2,2,656,1975,Maroondah City Council,-37.82778,145.28958,EASTERN METROPOLITAN
Beaconsfield,House,670000,Sold Prior,Harcourts,22/07/2017,4,2,2,900,2005,Cardinia Shire Council,-38.05614,145.38464,EASTERN VICTORIA
Beaconsfield Upper,House,675000,Sold Prior,LJ,24/06/2017,4,2,2,1031,1960,Cardinia Shire Council,-38.00224,145.41081,EASTERN VICTORIA
Beaumaris,House,2200000,Sold,Ray,27/05/2017,4,3,2,704,2014,Bayside City Council,-37.99035,145.03839,SOUTHERN METROPOLITAN
Beaumaris,House,1470000,Sold,Hodges,3/06/2017,2,1,4,633,1960,Bayside City Council,-37.98489,145.04116,SOUTHERN METROPOLITAN
Beaumaris,House,1221000,Passed In,Ray,1/07/2017,4,2,3,554,1925,Bayside City Council,-37.98139,145.05251,SOUTHERN METROPOLITAN
Beaumaris,Townhouse,1850000,Passed In,McGrath,22/07/2017,3,3,2,252,2007,Bayside City Council,-37.98453,145.02659,SOUTHERN METROPOLITAN
Beaumaris,House,1354000,Sold,Ray,9/09/2017,3,1,2,612,1950,Bayside City Council,-37.97289,145.05079,SOUTHERN METROPOLITAN
Beaumaris,House,3778000,Sold,Buxton,16/09/2017,5,4,4,1254,1980,Bayside City Council,-37.97775,145.02754,SOUTHERN METROPOLITAN
Beaumaris,House,1150000,Passed In,Marshall,23/09/2017,3,2,2,335,1996,Bayside City Council,-37.97316,145.04042,SOUTHERN METROPOLITAN
Beaumaris,House,2070000,Sold,Ray,21/10/2017,4,2,2,650,1985,Bayside City Council,-37.98902,145.04153,SOUTHERN METROPOLITAN
Beaumaris,House,1957500,Sold Prior,Hodges,11/11/2017,4,2,2,789,1980,Bayside City Council,-37.9792,145.035,SOUTHERN METROPOLITAN
Beaumaris,House,2700000,Passed In,Ray,11/11/2017,6,3,2,720,2008,Bayside City Council,-37.9874,145.0315,SOUTHERN METROPOLITAN
Beaumaris,House,1776000,Sold,Ray,11/11/2017,6,4,2,695,1980,Bayside City Council,-37.9785,145.0518,SOUTHERN METROPOLITAN
Beaumaris,House,1291000,Sold,Buxton,10/02/2018,3,2,2,567,1947,Bayside City Council,-37.97962,145.04993,SOUTHERN METROPOLITAN
Beaumaris,House,2082000,Sold,Buxton,17/02/2018,4,2,2,650,1970,Bayside City Council,-37.98316,145.02748,SOUTHERN METROPOLITAN
Beaumaris,House,1730000,Sold,Buxton,17/02/2018,3,1,3,667,1950,Bayside City Council,-37.9754,145.02694,SOUTHERN METROPOLITAN
Beaumaris,House,1800000,Passed In,Hodges,24/02/2018,4,2,2,1105,2005,Bayside City Council,-37.97677,145.03506,SOUTHERN METROPOLITAN
Beaumaris,Townhouse,1820000,Sold Prior,Chisholm,3/03/2018,4,2,3,353,2010,Bayside City Council,-37.9904,145.03871,SOUTHERN METROPOLITAN
Beaumaris,House,1674000,Sold,hockingstuart,3/03/2018,3,1,2,759,1928,Bayside City Council,-37.98376,145.04501,SOUTHERN METROPOLITAN
Beaumaris,House,1880000,Sold,McGrath,3/03/2018,4,3,4,689,1950,Bayside City Council,-37.98124,145.04465,SOUTHERN METROPOLITAN
Bellfield,House,645000,Sold Prior,Nelson,22/05/2016,3,1,2,631,1950,Banyule City Council,-37.7506,145.043,EASTERN METROPOLITAN
Bellfield,House,625000,Passed In,Nelson,28/05/2016,3,1,2,609,1950,Banyule City Council,-37.7504,145.0335,EASTERN METROPOLITAN
Bellfield,House,773000,Sold,Nelson,6/08/2016,3,1,2,626,1955,Banyule City Council,-37.752,145.0367,EASTERN METROPOLITAN
Bellfield,House,720000,Sold Prior,McGrath,25/02/2017,3,2,1,231,2012,Banyule City Council,-37.7527,145.0392,EASTERN METROPOLITAN
Bellfield,House,894000,Sold,Ray,8/04/2017,3,2,3,601,1950,Banyule City Council,-37.7524,145.0393,EASTERN METROPOLITAN
Bellfield,House,906000,Sold,Miles,22/07/2017,2,1,1,617,1960,Banyule City Council,-37.7528,145.04444,EASTERN METROPOLITAN
Bellfield,House,951000,Sold,Miles,26/08/2017,4,1,1,654,1960,Banyule City Council,-37.75399,145.03606,EASTERN METROPOLITAN
Bellfield,House,815000,Sold,Nelson,24/02/2018,3,1,2,612,1950,Banyule City Council,-37.75017,145.03497,EASTERN METROPOLITAN
Bentleigh,House,1222500,Sold,Ray,4/02/2016,3,2,2,299,2000,Glen Eira City Council,-37.9272,145.0406,SOUTHERN METROPOLITAN
Bentleigh,House,1500000,Passed In,hockingstuart,7/05/2016,3,2,1,565,1940,Glen Eira City Council,-37.9134,145.0263,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,900000,Passed In,hockingstuart,4/06/2016,3,2,1,418,1925,Glen Eira City Council,-37.9172,145.0421,SOUTHERN METROPOLITAN
Bentleigh,House,1005000,Sold,Ray,4/06/2016,7,3,4,607,1950,Glen Eira City Council,-37.9269,145.047,SOUTHERN METROPOLITAN
Bentleigh,House,1317500,Sold,Buxton,4/06/2016,3,1,1,576,1945,Glen Eira City Council,-37.9149,145.0254,SOUTHERN METROPOLITAN
Bentleigh,House,1600000,Passed In,Gary,18/06/2016,5,3,2,772,1986,Glen Eira City Council,-37.9168,145.04,SOUTHERN METROPOLITAN
Bentleigh,House,1165000,Passed In,Buxton,18/06/2016,3,1,2,694,1950,Glen Eira City Council,-37.9315,145.0445,SOUTHERN METROPOLITAN
Bentleigh,House,1910000,Sold,hockingstuart,18/06/2016,4,2,4,736,1950,Glen Eira City Council,-37.9224,145.0462,SOUTHERN METROPOLITAN
Bentleigh,House,1370000,Sold,hockingstuart,16/07/2016,3,1,2,624,1950,Glen Eira City Council,-37.9256,145.0374,SOUTHERN METROPOLITAN
Bentleigh,House,1385000,Sold,hockingstuart,16/07/2016,4,2,1,576,1920,Glen Eira City Council,-37.9152,145.0244,SOUTHERN METROPOLITAN
Bentleigh,House,1650000,Sold,Hodges,26/07/2016,3,2,2,570,1930,Glen Eira City Council,-37.9139,145.0395,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,670000,Passed In,Buxton,26/07/2016,2,2,1,123,2007,Glen Eira City Council,-37.9307,145.0379,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1435000,Sold,hockingstuart,6/08/2016,3,3,2,291,2012,Glen Eira City Council,-37.9278,145.0337,SOUTHERN METROPOLITAN
Bentleigh,House,1110000,Sold,Buxton,6/08/2016,3,1,2,692,1940,Glen Eira City Council,-37.9263,145.04,SOUTHERN METROPOLITAN
Bentleigh,House,2435000,Sold,Buxton,6/08/2016,3,2,2,795,1928,Glen Eira City Council,-37.9166,145.0314,SOUTHERN METROPOLITAN
Bentleigh,Unit,725000,Sold,hockingstuart,13/08/2016,2,1,1,227,1990,Glen Eira City Council,-37.9326,145.0387,SOUTHERN METROPOLITAN
Bentleigh,House,1430000,Sold,hockingstuart,22/08/2016,4,2,2,611,1970,Glen Eira City Council,-37.9289,145.0481,SOUTHERN METROPOLITAN
Bentleigh,House,910000,Sold,Buxton,22/08/2016,2,1,2,274,1970,Glen Eira City Council,-37.9178,145.0413,SOUTHERN METROPOLITAN
Bentleigh,House,2520000,Passed In,Buxton,22/08/2016,4,4,2,579,2012,Glen Eira City Council,-37.9155,145.0243,SOUTHERN METROPOLITAN
Bentleigh,House,1535000,Sold,Buxton,28/08/2016,2,2,2,572,1930,Glen Eira City Council,-37.9148,145.0404,SOUTHERN METROPOLITAN
Bentleigh,House,1281000,Sold,hockingstuart,28/08/2016,3,1,5,594,1940,Glen Eira City Council,-37.9206,145.0383,SOUTHERN METROPOLITAN
Bentleigh,House,1385000,Sold,Buxton,28/08/2016,5,2,2,664,1950,Glen Eira City Council,-37.9241,145.048,SOUTHERN METROPOLITAN
Bentleigh,House,2620000,Sold,Buxton,28/08/2016,4,4,2,579,2012,Glen Eira City Council,-37.9155,145.0243,SOUTHERN METROPOLITAN
Bentleigh,Unit,636000,Sold,hockingstuart,3/09/2016,2,1,2,202,1974,Glen Eira City Council,-37.9165,145.0259,SOUTHERN METROPOLITAN
Bentleigh,Unit,875000,Sold,hockingstuart,3/09/2016,3,1,2,348,1950,Glen Eira City Council,-37.9273,145.0479,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,895000,Passed In,Ray,3/09/2016,3,2,2,362,1997,Glen Eira City Council,-37.9336,145.043,SOUTHERN METROPOLITAN
Bentleigh,House,1328000,Sold,hockingstuart,10/09/2016,3,2,2,610,1940,Glen Eira City Council,-37.9291,145.0472,SOUTHERN METROPOLITAN
Bentleigh,House,1340000,Sold,hockingstuart,10/09/2016,3,2,1,526,1910,Glen Eira City Council,-37.9279,145.031,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1155000,Sold,Buxton,10/09/2016,4,3,2,271,2010,Glen Eira City Council,-37.9252,145.0494,SOUTHERN METROPOLITAN
Bentleigh,House,1275000,Sold,Buxton,10/09/2016,3,1,4,758,1960,Glen Eira City Council,-37.9267,145.043,SOUTHERN METROPOLITAN
Bentleigh,House,1095000,Sold,Buxton,17/09/2016,3,2,1,581,1965,Glen Eira City Council,-37.9286,145.0495,SOUTHERN METROPOLITAN
Bentleigh,House,1125000,Sold,hockingstuart,8/10/2016,3,1,2,584,1948,Glen Eira City Council,-37.9199,145.0477,SOUTHERN METROPOLITAN
Bentleigh,House,1293000,Sold,Buxton,15/10/2016,3,1,1,632,1950,Glen Eira City Council,-37.9282,145.0367,SOUTHERN METROPOLITAN
Bentleigh,House,1390000,Sold,Buxton,15/10/2016,3,1,2,723,1925,Glen Eira City Council,-37.9203,145.048,SOUTHERN METROPOLITAN
Bentleigh,House,1328000,Sold,Woodards,15/10/2016,3,2,2,690,1970,Glen Eira City Council,-37.9317,145.0469,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1247000,Sold,hockingstuart,15/10/2016,4,2,3,354,2008,Glen Eira City Council,-37.9326,145.0441,SOUTHERN METROPOLITAN
Bentleigh,House,1300000,Passed In,Buxton,7/11/2016,4,2,2,697,1940,Glen Eira City Council,-37.9318,145.0474,SOUTHERN METROPOLITAN
Bentleigh,Unit,855000,Sold,hockingstuart,12/11/2016,2,2,3,226,2005,Glen Eira City Council,-37.9274,145.031,SOUTHERN METROPOLITAN
Bentleigh,House,1860000,Passed In,McGrath,12/11/2016,4,2,3,855,1930,Glen Eira City Council,-37.9163,145.0324,SOUTHERN METROPOLITAN
Bentleigh,Unit,820000,Sold,hockingstuart,19/11/2016,2,1,3,336,1960,Glen Eira City Council,-37.929,145.0375,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1320000,Sold,Buxton,27/11/2016,4,3,3,346,2010,Glen Eira City Council,-37.9294,145.041,SOUTHERN METROPOLITAN
Bentleigh,House,1900000,Sold,hockingstuart,27/11/2016,6,3,2,708,1988,Glen Eira City Council,-37.9181,145.044,SOUTHERN METROPOLITAN
Bentleigh,House,1425000,Sold,Buxton,3/12/2016,3,2,2,613,1960,Glen Eira City Council,-37.9311,145.0428,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,851000,Sold,hockingstuart,3/12/2016,2,1,1,140,1970,Glen Eira City Council,-37.9204,145.0443,SOUTHERN METROPOLITAN
Bentleigh,House,855000,Sold Prior,Marshall,10/12/2016,2,1,1,296,1940,Glen Eira City Council,-37.9243,145.0376,SOUTHERN METROPOLITAN
Bentleigh,Unit,650000,Sold Prior,hockingstuart,10/12/2016,2,1,1,116,1960,Glen Eira City Council,-37.9245,145.0336,SOUTHERN METROPOLITAN
Bentleigh,House,1815000,Sold,Buxton,10/12/2016,4,2,4,902,1950,Glen Eira City Council,-37.924,145.0504,SOUTHERN METROPOLITAN
Bentleigh,House,2255000,Sold,hockingstuart,10/12/2016,4,3,2,557,2008,Glen Eira City Council,-37.9132,145.0251,SOUTHERN METROPOLITAN
Bentleigh,House,1470000,Sold,McGrath,11/02/2017,3,2,2,613,1950,Glen Eira City Council,-37.929,145.0464,SOUTHERN METROPOLITAN
Bentleigh,House,1900000,Sold,Woodards,25/02/2017,5,2,2,567,1926,Glen Eira City Council,-37.9144,145.0401,SOUTHERN METROPOLITAN
Bentleigh,Unit,725000,Sold,hockingstuart,18/03/2017,2,1,1,677,2012,Glen Eira City Council,-37.9173,145.0359,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,825000,Sold,Buxton,18/03/2017,3,2,2,147,2007,Glen Eira City Council,-37.9317,145.0352,SOUTHERN METROPOLITAN
Bentleigh,House,2000000,Passed In,Buxton,8/04/2017,6,2,2,702,1926,Glen Eira City Council,-37.9193,145.033,SOUTHERN METROPOLITAN
Bentleigh,Unit,641500,Sold,hockingstuart,22/04/2017,3,1,1,681,1960,Glen Eira City Council,-37.9145,145.0287,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1105000,Sold,Hodges,13/05/2017,4,2,1,207,2007,Glen Eira City Council,-37.9156,145.0355,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1303000,Sold,hockingstuart,13/05/2017,3,2,2,334,2006,Glen Eira City Council,-37.9284,145.0428,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1375000,Sold,Buxton,20/05/2017,3,3,2,338,2012,Glen Eira City Council,-37.9166,145.0418,SOUTHERN METROPOLITAN
Bentleigh,House,1920000,Sold,hockingstuart,20/05/2017,4,2,2,650,1996,Glen Eira City Council,-37.9323,145.0445,SOUTHERN METROPOLITAN
Bentleigh,House,1479000,Sold,Gary,27/05/2017,4,2,2,603,1920,Glen Eira City Council,-37.91655,145.02448,SOUTHERN METROPOLITAN
Bentleigh,House,1350000,Passed In,hockingstuart,27/05/2017,4,3,2,557,1950,Glen Eira City Council,-37.91389,145.02804,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1200000,Passed In,Buxton,3/06/2017,4,2,2,293,2012,Glen Eira City Council,-37.92594,145.03184,SOUTHERN METROPOLITAN
Bentleigh,House,2700000,Passed In,hockingstuart,17/06/2017,4,4,2,673,1935,Glen Eira City Council,-37.91888,145.04775,SOUTHERN METROPOLITAN
Bentleigh,House,1116000,Sold,hockingstuart,17/06/2017,3,1,2,278,1930,Glen Eira City Council,-37.91928,145.03381,SOUTHERN METROPOLITAN
Bentleigh,House,1045000,Sold Prior,hockingstuart,1/07/2017,3,1,1,401,1970,Glen Eira City Council,-37.92999,145.04932,SOUTHERN METROPOLITAN
Bentleigh,Unit,410000,Passed In,hockingstuart,22/07/2017,2,1,1,834,1967,Glen Eira City Council,-37.91627,145.03892,SOUTHERN METROPOLITAN
Bentleigh,House,1500000,Passed In,hockingstuart,22/07/2017,5,2,2,591,1950,Glen Eira City Council,-37.92211,145.0466,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1435000,Sold,hockingstuart,29/07/2017,3,3,2,307,2014,Glen Eira City Council,-37.91648,145.04927,SOUTHERN METROPOLITAN
Bentleigh,House,1700000,Sold,Jellis,12/08/2017,4,2,2,673,2014,Glen Eira City Council,-37.92837,145.03821,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1280000,Sold,Buxton,12/08/2017,4,3,2,306,2014,Glen Eira City Council,-37.92893,145.04581,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1750000,Sold,Buxton,12/08/2017,4,3,2,429,2013,Glen Eira City Council,-37.91582,145.048,SOUTHERN METROPOLITAN
Bentleigh,House,1895000,Sold,Jellis,19/08/2017,4,2,2,557,1920,Glen Eira City Council,-37.91741,145.02873,SOUTHERN METROPOLITAN
Bentleigh,House,2151000,Sold,Buxton,9/09/2017,4,3,2,811,1975,Glen Eira City Council,-37.91637,145.05177,SOUTHERN METROPOLITAN
Bentleigh,House,2210000,Sold,Jellis,16/09/2017,4,3,2,557,1940,Glen Eira City Council,-37.92098,145.02422,SOUTHERN METROPOLITAN
Bentleigh,House,1410000,Passed In,Woodards,23/09/2017,4,3,4,623,1950,Glen Eira City Council,-37.92588,145.04808,SOUTHERN METROPOLITAN
Bentleigh,House,1210000,Sold,Buxton,7/10/2017,3,1,1,690,1950,Glen Eira City Council,-37.93199,145.03939,SOUTHERN METROPOLITAN
Bentleigh,House,1600000,Sold,Buxton,7/10/2017,4,2,2,738,1950,Glen Eira City Council,-37.92727,145.04771,SOUTHERN METROPOLITAN
Bentleigh,House,1630000,Sold,Woodards,14/10/2017,3,1,2,554,1960,Glen Eira City Council,-37.91655,145.04525,SOUTHERN METROPOLITAN
Bentleigh,House,1730000,Sold,Jellis,14/10/2017,3,1,2,569,1940,Glen Eira City Council,-37.91456,145.04109,SOUTHERN METROPOLITAN
Bentleigh,House,2260000,Sold,Jellis,14/10/2017,4,3,2,560,2008,Glen Eira City Council,-37.91324,145.02513,SOUTHERN METROPOLITAN
Bentleigh,House,1560000,Sold,Buxton,21/10/2017,4,2,2,363,2017,Glen Eira City Council,-37.92967,145.04474,SOUTHERN METROPOLITAN
Bentleigh,Townhouse,1250000,Passed In,Buxton,21/10/2017,4,3,2,750,1950,Glen Eira City Council,-37.92743,145.0489,SOUTHERN METROPOLITAN
Bentleigh,House,2478000,Sold,Jellis,28/10/2017,5,3,2,697,2016,Glen Eira City Council,-37.93087,145.04172,SOUTHERN METROPOLITAN
Bentleigh,House,1300000,Passed In,Buxton,9/12/2017,3,1,2,585,1960,Glen Eira City Council,-37.92647,145.04636,SOUTHERN METROPOLITAN
Bentleigh,House,1750000,Passed In,Buxton,9/12/2017,2,1,1,717,1920,Glen Eira City Council,-37.92092,145.03388,SOUTHERN METROPOLITAN
Bentleigh,House,1360500,Sold,C21,17/02/2018,3,2,2,598,1960,Glen Eira City Council,-37.92353,145.04358,SOUTHERN METROPOLITAN
